Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-2015,2015,1,1,†,0,,-8.5,,-4.3,,22.3,,0,,0,,0,,0,,0,,,,,
02-01-2015,2015,1,2,†,3,,-3,,0,,18,,0,,0,,0,,0,,0,,,,,
03-01-2015,2015,1,3,†,2.5,,-4,,-0.8,,18.8,,0,,24,,0,,24,,0,,,,,
04-01-2015,2015,1,4,†,2.5,,0,,1.3,,16.7,,0,,0,,1,,1,,0,,,,,
05-01-2015,2015,1,5,†,-10,,-13.5,,-11.8,,29.8,,0,,0,,3,,3,,1,,,,,
06-01-2015,2015,1,6,,,,,,,,,,,,,,,,,,,,,,,
07-01-2015,2015,1,7,,,,,,,,,,,,,,,,,,,,,,,
08-01-2015,2015,1,8,,,,,,,,,,,,,,,,,,,,,,,
09-01-2015,2015,1,9,†,-7,,-14,,-10.5,,28.5,,0,,0,,0,,0,,4,,,,,
10-01-2015,2015,1,10,†,-2.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
11-01-2015,2015,1,11,,,,,,,,,,,,,,,,,,,,,,,
12-01-2015,2015,1,12,,,,,,,,,,,,,,,,,,,,,,,
13-01-2015,2015,1,13,†,-12,,-17,,-14.5,,32.5,,0,,0,,0,T,0,T,8,,,,,
14-01-2015,2015,1,14,,,,,,,,,,,,,,,,,,,,,,,
15-01-2015,2015,1,15,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
16-01-2015,2015,1,16,,,,,,,,,,,,,,,,,,,,,,,
17-01-2015,2015,1,17,,,,,,,,,,,,,,,,,,,,,,,
18-01-2015,2015,1,18,†,5,,-4,,0.5,,17.5,,0,,1.2,,0,T,1.2,,2,,,,,
19-01-2015,2015,1,19,†,3,,,M,,M,,M,,M,0,,0,T,0,T,0,,,,,
20-01-2015,2015,1,20,,,,,,,,,,,,,,,,,,,,,,,
21-01-2015,2015,1,21,†,-4,,-6,,-5,,23,,0,,0,,0,,0,,4,,,,,
22-01-2015,2015,1,22,,,,,,,,,,,,,,,,,,,,,,,
23-01-2015,2015,1,23,,,,,,,,,,,,,,,,,,,,,,,
24-01-2015,2015,1,24,,,,,,,,,,,,,,,,,,,,,,,
25-01-2015,2015,1,25,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
26-01-2015,2015,1,26,†,-5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
27-01-2015,2015,1,27,,,,,,,,,,,,,,,,,,,,,,,
28-01-2015,2015,1,28,†,2,,-14,,-6,,24,,0,,0,T,0,,0,T,3,,,,,
29-01-2015,2015,1,29,,,,,,,,,,,,,,,,,,,,,,,
30-01-2015,2015,1,30,,,,,,,,,,,,,,,,,,,,,,,
31-01-2015,2015,1,31,†,1,,-13.5,,-6.3,,24.3,,0,,0,,5,,5,,0,,,,,
01-02-2015,2015,2,1,†,-4,,-6,,-5,,23,,0,,0,,15,,15,,8,,,,,
02-02-2015,2015,2,2,†,-7,,-10.5,,-8.8,,26.8,,0,,0,,0,,0,,30,,,,,
03-02-2015,2015,2,3,,,,,,,,,,,,,,,,,,,,,,,
04-02-2015,2015,2,4,†,1,,-6,,-2.5,,20.5,,0,,0,,2,,2,,30,,,,,
05-02-2015,2015,2,5,,,,,,,,,,,,,,,,,,,,,,,
06-02-2015,2015,2,6,,,,,,,,,,,,,,,,,,,,,,,
07-02-2015,2015,2,7,,,,,,,,,,,,,,,,,,,,,,,
08-02-2015,2015,2,8,†,2.5,,-0.5,,1,,17,,0,,2.8,,0,T,2.8,,24,,,,,
09-02-2015,2015,2,9,,,,,,,,,,,,,,,,,,,,,,,
10-02-2015,2015,2,10,†,-1.5,,,M,,M,,M,,M,0,,0,T,0,T,0,,,,,
11-02-2015,2015,2,11,†,0.5,,-10,,-4.8,,22.8,,0,,0,,2,,2,,20,,,,,
12-02-2015,2015,2,12,,,,,,,,,,,,,,,,,,,,,,,
13-02-2015,2015,2,13,†,-4,,-19,,-11.5,,29.5,,0,,0,,5,,5,,20,,,,,
14-02-2015,2015,2,14,†,-7,,-14.5,,-10.8,,28.8,,0,,0,,0,,0,,23,,,,,
15-02-2015,2015,2,15,,,,,,,,,,,,,,,,,,,,,,,
16-02-2015,2015,2,16,†,-12,,-24,,-18,,36,,0,,0,,0,,0,,22,,,,,
17-02-2015,2015,2,17,,,,,,,,,,,,,,,,,,,,,,,
18-02-2015,2015,2,18,†,-5.5,,-15.5,,-10.5,,28.5,,0,,0,,0,T,0,T,22,,,,,
19-02-2015,2015,2,19,,,,,,,,,,,,,,,,,,,,,,,
20-02-2015,2015,2,20,,,,,,,,,,,,,,,,,,,,,,,
21-02-2015,2015,2,21,†,-3,,-20,,-11.5,,29.5,,0,,0,,3,,3,,0,,,,,
22-02-2015,2015,2,22,†,1,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
23-02-2015,2015,2,23,,,,,,,,,,,,,,,,,,,,,,,
24-02-2015,2015,2,24,†,-6.5,,-18.5,,-12.5,,30.5,,0,,0,,0,,0,,24,,,,,
25-02-2015,2015,2,25,,,,,,,,,,,,,,,,,,,,,,,
26-02-2015,2015,2,26,†,-8.5,,-14.5,,-11.5,,29.5,,0,,0,,3,,3,,23,,,,,
27-02-2015,2015,2,27,,,,,,,,,,,,,,,,,,,,,,,
28-02-2015,2015,2,28,,,,,,,,,,,,,,,,,,,,,,,
01-03-2015,2015,3,1,†,-2.5,,-12.5,,-7.5,,25.5,,0,,0,,1,,1,,27,,,,,
02-03-2015,2015,3,2,,,,,,,,,,,,,,,,,,,,,,,
03-03-2015,2015,3,3,†,2,,-10,,-4,,22,,0,,3,,0,T,3,,27,,,,,
04-03-2015,2015,3,4,†,3.5,,-5.5,,-1,,19,,0,,0,,0,,0,,24,,,,,
05-03-2015,2015,3,5,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
06-03-2015,2015,3,6,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
07-03-2015,2015,3,7,†,6,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
08-03-2015,2015,3,8,†,7,,2,,4.5,,13.5,,0,,0,,0,,0,,20,,,,,
09-03-2015,2015,3,9,,,,,,,,,,,,,,,,,,,,,,,
10-03-2015,2015,3,10,,,,,,,,,,,,,,,,,,,,,,,
11-03-2015,2015,3,11,†,11,,-4,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
12-03-2015,2015,3,12,†,7,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
13-03-2015,2015,3,13,,,,,,,,,,,,,,,,,,,,,,,
14-03-2015,2015,3,14,†,11,,3,,7,,11,,0,,0,,0,,0,,0,,,,,
15-03-2015,2015,3,15,,,,,,,,,,,,,,,,,,,,,,,
16-03-2015,2015,3,16,†,13,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
17-03-2015,2015,3,17,,,,,,,,,,,,,,,,,,,,,,,
18-03-2015,2015,3,18,,,,,,,,,,,,,,,,,,,,,,,
19-03-2015,2015,3,19,†,9,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
20-03-2015,2015,3,20,,,,,,,,,,,,,,,,,,,,,,,
21-03-2015,2015,3,21,,,,,,,,,,,,,,,,,,,,,,,
22-03-2015,2015,3,22,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
23-03-2015,2015,3,23,,,,,,,,,,,,,,,,,,,,,,,
24-03-2015,2015,3,24,,,,,,,,,,,,,,,,,,,,,,,
25-03-2015,2015,3,25,,,,,,,,,,,,,,,,,,,,,,,
26-03-2015,2015,3,26,†,7,,0,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
27-03-2015,2015,3,27,,,,,,,,,,,,,,,,,,,,,,,
28-03-2015,2015,3,28,†,2.5,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
29-03-2015,2015,3,29,†,6,,-9,,-1.5,,19.5,,0,,0,,0,T,0,T,0,,,,,
30-03-2015,2015,3,30,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
31-03-2015,2015,3,31,†,15,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
01-04-2015,2015,4,1,†,15,,0,,7.5,,10.5,,0,,0,,0,,0,,0,,,,,
02-04-2015,2015,4,2,†,14.5,,3.5,,9,,9,,0,,6,,0,,6,,0,,,,,
03-04-2015,2015,4,3,†,15,,4,,9.5,,8.5,,0,,1,,0,,1,,0,,,,,
04-04-2015,2015,4,4,†,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
05-04-2015,2015,4,5,,,,,,,,,,,,,,,,,,,,,,,
06-04-2015,2015,4,6,†,13.5,,,M,,M,,M,,M,1.4,,0,,1.4,,0,,,,,
07-04-2015,2015,4,7,†,8,,4,,6,,12,,0,,0.4,,0,,0.4,,0,,,,,
08-04-2015,2015,4,8,,,,,,,,,,,,,,,,,,,,,,,
09-04-2015,2015,4,9,†,18,,2.5,,10.3,,7.7,,0,,8,,0,,8,,0,,,,,
10-04-2015,2015,4,10,†,15,,8.5,,11.8,,6.2,,0,,0,,0,,0,,0,,,,,
11-04-2015,2015,4,11,†,18.5,,1.5,,10,,8,,0,,0,,0,,0,,0,,,,,
12-04-2015,2015,4,12,†,15.5,,1,,8.3,,9.7,,0,,0,,0,,0,,0,,,,,
13-04-2015,2015,4,13,†,21.5,,,M,,M,,M,,M,7.4,,0,,7.4,,0,,,,,
14-04-2015,2015,4,14,†,17.5,,3.5,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
15-04-2015,2015,4,15,,,,,,,,,,,,,,,,,,,,,,,
16-04-2015,2015,4,16,,,,,,,,,,,,,,,,,,,,,,,
