Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
14-11-2016,2016,11,14,,,,,,,,,,,,,,,,,,,,,,,
15-11-2016,2016,11,15,,,,,,,,,,,,,,,,,,,,,,,
16-11-2016,2016,11,16,,,,,,,,,,,,,,,,,,,,,,,
17-11-2016,2016,11,17,†,15.5,,2,,8.8,,9.2,,0,,0,,0,,0,,0,,,,,
18-11-2016,2016,11,18,†,21,,9,,15,,3,,0,,1.6,,0,T,1.6,,0,,,,,
19-11-2016,2016,11,19,†,5,,0.5,,2.8,,15.2,,0,,1.6,,0,T,1.6,,0,,,,,
20-11-2016,2016,11,20,†,2,,-1,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
21-11-2016,2016,11,21,,,,,,,,,,,,,,,,,,,,,,,
22-11-2016,2016,11,22,†,3,,-6.5,,-1.8,,19.8,,0,,0,,0,,0,,0,,,,,
23-11-2016,2016,11,23,†,5,,-4.5,,0.3,,17.7,,0,,10.6,,0,,10.6,,0,,,,,
24-11-2016,2016,11,24,†,8,,3,,5.5,,12.5,,0,,1,,0,,1,,0,,,,,
25-11-2016,2016,11,25,,,,,,,,,,,,,,,,,,,,,,,
26-11-2016,2016,11,26,,,,,,,,,,,,,,,,,,,,,,,
27-11-2016,2016,11,27,,,,,,,,,,,,,,,,,,,,,,,
28-11-2016,2016,11,28,†,10.5,,2.5,,6.5,,11.5,,0,,12,,0,,12,,0,,,,,
29-11-2016,2016,11,29,†,13,,7,,10,,8,,0,,0,,0,,0,,0,,,,,
30-11-2016,2016,11,30,†,16,,4,,10,,8,,0,,1.8,,0,,1.8,,0,,,,,
01-12-2016,2016,12,1,†,5,,1.5,,3.3,,14.7,,0,,0.6,,0,,0.6,,0,,,,,
02-12-2016,2016,12,2,,,,,,,,,,,,,,,,,,,,,,,
03-12-2016,2016,12,3,†,4,,0.5,,2.3,,15.7,,0,,0,,0,,0,,0,,,,,
04-12-2016,2016,12,4,,,,,,,,,,,,,,,,,,,,,,,
05-12-2016,2016,12,5,,,,,,,,,,,,,,,,,,,,,,,
06-12-2016,2016,12,6,†,5,,,M,,M,,M,,M,5.8,,0,,5.8,,0,,,,,
07-12-2016,2016,12,7,,,,,,,,,,,,,,,,,,,,,,,
08-12-2016,2016,12,8,†,-2,,-4,,-3,,21,,0,,0,,1,,1,,0,T,,,,
09-12-2016,2016,12,9,,,,,,,,,,,,,,,,,,,,,,,
10-12-2016,2016,12,10,†,0,,-6,,-3,,21,,0,,0,,5,,5,,0,,,,,
11-12-2016,2016,12,11,†,1,,-5,,-2,,20,,0,,0,,15,,15,,5,,,,,
12-12-2016,2016,12,12,†,2,,-2,,0,,18,,0,,0,,0,,0,,20,,,,,
13-12-2016,2016,12,13,†,-2,,-9,,-5.5,,23.5,,0,,0,,0,,0,,17,,,,,
14-12-2016,2016,12,14,,,,,,,,,,,,,,,,,,,,,,,
15-12-2016,2016,12,15,,,,,,,,,,,,,,,,,,,,,,,
16-12-2016,2016,12,16,†,-3.5,,-15.5,,-9.5,,27.5,,0,,0,,5,,5,,15,,,,,
17-12-2016,2016,12,17,†,-1,,-8,,-4.5,,22.5,,0,,1,,0,,1,,20,,,,,
18-12-2016,2016,12,18,,,,,,,,,,,,,,,,,,,,,,,
19-12-2016,2016,12,19,,,,,,,,,,,,,,,,,,,,,,,
20-12-2016,2016,12,20,†,-0.5,,-13,,-6.8,,24.8,,0,,0,,0,,0,,17,,,,,
21-12-2016,2016,12,21,,,,,,,,,,,,,,,,,,,,,,,
22-12-2016,2016,12,22,†,4.5,,-1.5,,1.5,,16.5,,0,,0,,0,,0,,16,,,,,
23-12-2016,2016,12,23,†,3,,-3.5,,-0.3,,18.3,,0,,4,,0,,4,,13,,,,,
24-12-2016,2016,12,24,†,4,,0,,2,,16,,0,,0,,0,,0,,11,,,,,
25-12-2016,2016,12,25,,,,,,,,,,,,,,,,,,,,,,,
26-12-2016,2016,12,26,†,13,,0.5,,6.8,,11.2,,0,,14.4,,0,,14.4,,3,,,,,
27-12-2016,2016,12,27,†,0.5,,-2,,-0.8,,18.8,,0,,0,,0,,0,,0,,,,,
28-12-2016,2016,12,28,,,,,,,,,,,,,,,,,,,,,,,
29-12-2016,2016,12,29,†,6,,-1.5,,2.3,,15.7,,0,,0,,0,,0,,0,T,,,,
30-12-2016,2016,12,30,†,2.5,,-2.5,,0,,18,,0,,0,,0,,0,,0,,,,,
31-12-2016,2016,12,31,†,7.5,,-3,,2.3,,15.7,,0,,0,,0,,0,,0,,,,,
